epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
145,0.8459371,0.12540753,0.20273133,0.13420558,1460.0,-3.4699287,0.7,2920.0,0.5
146,0.8459542,0.12519547,0.20277874,0.1340613,1470.0,-9.701121,0.4,2940.0,0.65
147,0.8460917,0.12504949,0.20282863,0.13402008,1480.0,-6.8088493,0.6,2960.0,0.5
148,0.8462387,0.12502687,0.20286773,0.13395815,1490.0,-3.6602204,0.8,2980.0,0.4
149,0.84641814,0.12508355,0.20282169,0.13412724,1500.0,-2.5232651,0.9,3000.0,0.35
150,0.8463993,0.124914266,0.20269705,0.13392311,1510.0,-6.0269785,0.7,3020.0,0.55
151,0.84642553,0.124847,0.20274435,0.13379604,1520.0,-4.8414907,0.9,3040.0,0.55
152,0.8466367,0.12480626,0.20281424,0.13371445,1530.0,-2.3735788,0.8,3060.0,0.5
153,0.84678024,0.12481318,0.202843,0.1337132,1540.0,-4.156003,0.8,3080.0,0.3
154,0.84690887,0.124789976,0.20290601,0.13376,1550.0,-4.6718826,0.6,3100.0,0.2
155,0.8469946,0.12481544,0.20281547,0.13377877,1560.0,-3.364265,0.9,3120.0,0.55
156,0.8470691,0.124654114,0.20276694,0.13361114,1570.0,-4.2198057,0.6,3140.0,0.6
157,0.84700346,0.12457335,0.20276456,0.1335247,1580.0,-2.6578293,0.9,3160.0,0.35
158,0.84698844,0.12444088,0.20274693,0.1333877,1590.0,-3.0220914,0.8,3180.0,0.4
159,0.8470254,0.12447134,0.2027541,0.13345319,1600.0,-4.9255886,0.6,3200.0,0.6
160,0.8470301,0.12450382,0.20276558,0.13338646,1610.0,-2.63691,0.9,3220.0,0.45
161,0.8471179,0.124477684,0.20266561,0.13337184,1620.0,-2.5933926,0.9,3240.0,0.5
162,0.84715635,0.124363504,0.20265076,0.13321936,1630.0,-2.165013,0.9,3260.0,0.7
163,0.84721136,0.12436519,0.20258933,0.13321245,1640.0,-2.7093072,0.8,3280.0,0.4
164,0.8471431,0.12427384,0.20254326,0.13312392,1650.0,-3.632811,0.7,3300.0,0.5
165,0.8471408,0.1241982,0.20257792,0.13312423,1660.0,-1.427612,1.0,3320.0,0.45
166,0.84716797,0.12409256,0.2025416,0.13305223,1670.0,-4.6995554,0.7,3340.0,0.5
167,0.84719324,0.12412361,0.20256041,0.13304389,1680.0,-2.1324296,0.9,3360.0,0.35
168,0.847171,0.12422461,0.20260601,0.13301583,1690.0,-3.2544644,0.8,3380.0,0.45
169,0.8471451,0.12412888,0.20258112,0.13282914,1700.0,-2.5106606,0.8,3400.0,0.75
170,0.84718436,0.12400406,0.20258507,0.13270503,1710.0,-3.0849226,0.9,3420.0,0.35
171,0.8470874,0.12393018,0.20259693,0.13270408,1720.0,-3.288035,0.7,3440.0,0.65
172,0.84721833,0.12384922,0.20254816,0.13259937,1730.0,-5.325515,0.8,3460.0,0.5
173,0.8473044,0.12403373,0.20250009,0.13256183,1740.0,-2.4378495,0.8,3480.0,0.6
174,0.8473672,0.1240651,0.20250857,0.13247345,1750.0,-2.2990756,0.8,3500.0,0.45
175,0.84738606,0.12401084,0.20249699,0.13239586,1760.0,-2.4337175,0.9,3520.0,0.45
176,0.8475499,0.12390291,0.20259361,0.13223235,1770.0,-1.6878214,0.9,3540.0,0.6
177,0.84761494,0.12401786,0.20268089,0.13221994,1780.0,-4.9264817,0.8,3560.0,0.7
178,0.84760386,0.124149024,0.20267588,0.13210103,1790.0,-3.1379967,0.9,3580.0,0.4
179,0.8477037,0.124144934,0.20265046,0.13198017,1800.0,-1.8684267,0.9,3600.0,0.45
180,0.8477028,0.12405328,0.20260102,0.13181147,1810.0,-1.3124853,1.0,3620.0,0.7
181,0.8478689,0.12397814,0.20256342,0.1317382,1820.0,-2.2801223,0.9,3640.0,0.4
182,0.84791034,0.12393281,0.20256607,0.13159138,1830.0,-3.3960261,0.8,3660.0,0.45
183,0.8479624,0.123781346,0.20256937,0.13141051,1840.0,-2.4442472,1.0,3680.0,0.65
184,0.84801954,0.12372511,0.2026641,0.13128795,1850.0,-2.4003115,0.9,3700.0,0.6
185,0.8480888,0.12388543,0.20262066,0.13130593,1860.0,-2.434126,0.9,3720.0,0.45
186,0.8482025,0.12389329,0.20265423,0.131215,1870.0,-1.5816467,1.0,3740.0,0.6
187,0.84818083,0.123887144,0.20261435,0.13109018,1880.0,-3.4426918,0.7,3760.0,0.55
188,0.84820336,0.123721205,0.20261252,0.13091688,1890.0,-3.3437743,0.8,3780.0,0.7
189,0.8482781,0.1237463,0.202613,0.13083479,1900.0,-2.1918993,0.9,3800.0,0.55
190,0.8482836,0.12367264,0.20249625,0.13080166,1910.0,-3.454134,0.7,3820.0,0.6
191,0.8483176,0.1236412,0.20247588,0.13070689,1920.0,-1.7363279,0.9,3840.0,0.7
192,0.8483484,0.123553336,0.20244303,0.13054739,1930.0,-1.7030382,1.0,3860.0,0.5
193,0.84841824,0.123529844,0.20242141,0.13045524,1940.0,-2.2240825,1.0,3880.0,0.6
194,0.84847456,0.12352405,0.20242237,0.13031982,1950.0,-3.6850555,0.7,3900.0,0.55
195,0.8485405,0.12341366,0.2023975,0.13029452,1960.0,-2.3809237,0.9,3920.0,0.65
196,0.8485773,0.12342145,0.20243944,0.1301772,1970.0,-1.7443186,1.0,3940.0,0.6
197,0.84868413,0.123396546,0.20244294,0.13013136,1980.0,-2.318544,1.0,3960.0,0.55
198,0.8488497,0.12351855,0.20248163,0.13008484,1990.0,-1.5098399,1.0,3980.0,0.5
199,0.8489155,0.123408936,0.20250732,0.12995909,2000.0,-2.4757252,1.0,4000.0,0.75
200,0.8489633,0.12329421,0.20254558,0.12984547,2010.0,-3.183001,0.9,4020.0,0.65
201,0.84883195,0.12342504,0.2024532,0.12981328,2020.0,-1.308861,1.0,4040.0,0.65
202,0.84888583,0.123331614,0.20239174,0.12969172,2030.0,-1.9070511,1.0,4060.0,0.8
203,0.84895855,0.123326294,0.2024182,0.12968649,2040.0,-1.8065951,1.0,4080.0,0.55
204,0.8488102,0.12343053,0.20241655,0.12964666,2050.0,-3.433736,0.8,4100.0,0.5
205,0.84884065,0.123354435,0.20242752,0.12956959,2060.0,-3.6319528,0.8,4120.0,0.6
206,0.8488944,0.123224705,0.2024208,0.12938593,2070.0,-2.356815,0.9,4140.0,0.75
207,0.84900635,0.123212315,0.20246255,0.12932537,2080.0,-1.6685063,1.0,4160.0,0.65
208,0.8490688,0.12310726,0.20246388,0.12925051,2090.0,-1.9573848,1.0,4180.0,0.75
209,0.84907365,0.12299552,0.20244743,0.12913908,2100.0,-4.3824024,0.8,4200.0,0.65
210,0.8490445,0.12318645,0.20243263,0.12926236,2110.0,-1.6452157,0.9,4220.0,0.3
